,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
EBIT,,"76,143,000","12,079,000","8,226,000","21,323,000","13,982,000","15,411,000","7,036,000","31,719,000","15,607,000","12,065,000","23,785,000","19,004,000","9,269,000","8,797,300","7,350,000","9,473,000","46,374,000","4,772,000","13,201,000","13,832,000","3,313,000","9,505,000","17,344,000","24,456,000","13,418,000","13,806,000","6,591,000"
EBITDA,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
Reconciled Cost of Revenue,,"163,756,000","81,490,000","37,719,000","113,997,000","16,753,000","32,726,000","44,998,000","211,599,000","70,761,000","38,610,000","18,226,000","27,091,000","11,770,000","10,239,200","16,682,000","13,509,000","42,910,000","21,643,000","9,757,000","34,268,000",,"49,985,000","172,401,000","55,508,000","3,856,000","385,301,000","100,745,000"
Normalized EBITDA,,"87,046,000","14,007,000","11,027,000","40,742,000","16,234,000","17,854,000","12,180,000","50,464,000","18,006,000","16,518,000","32,923,000","26,184,000","11,436,000","10,199,000","8,291,000","14,445,000","54,584,000","5,492,000","23,391,000","16,666,000",,"11,938,000","18,396,000","46,450,000","14,638,000","24,484,000","8,361,000"
Income Tax Paid Supplemental Data,,"10,417,000",,,"4,748,000","3,911,000","2,503,000","1,419,000",,"3,774,000","1,745,000","3,813,000","4,570,000",,"1,734,400","1,560,000",,,"529,000","3,655,000","2,830,000","408,000","1,714,000","3,257,000",,"2,285,000","3,982,000",
Interest Paid Supplemental Data,,"3,022,000",,,"736,000","910,000","631,000","1,198,000",,"1,035,000","1,423,000","448,000","1,049,000",,"959,600","328,000",,,"125,000","1,311,000","529,000","347,000","1,027,000","1,410,000",,"545,000","2,348,000",
Earnings from Equity Interest Net of Tax,,,,"24,000",,,,,,,,,,,,,,,,,,,,,,,,"54,000"
Cash Flow from Discontinued Operation,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
Average Dilution Earnings,,,,,,,,,,,"-6,000",,,,,,,,,"1,000","265,000",,,,,"359,000",,
Rent Expense Supplemental,,,,,,,,,,,,,,,"4,147,500",,,,,,,,,,,,,
Preferred Stock Equity,,,,,,,,,,,,,,,,,,,,"21,000","1,006,000",,,,,"5,526,000",,
