date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2020-01-22,61767.297216,8736.04,62346.7872,8818.0,60734.736,8590.0,61387.758144,8682.36,29080.557138,29080.557138
2020-01-21,61104.87144,8642.35,62141.7456,8789.0,60013.5552,8488.0,61767.226512,8736.03,36494.687659,36494.687659
2020-01-20,61524.641088,8701.72,61844.718096,8746.99,60248.858112,8521.28,61104.87144,8642.35,38896.639746,38896.639746
2020-01-19,63033.252336,8915.09,65040.468192,9198.98,59858.0064,8466.0,61524.49968,8701.7,70676.889259,70676.889259
2020-01-18,63020.384208,8913.27,63554.977152,8988.88,62264.629152,8806.38,63039.403584,8915.96,38294.746545,38294.746545
2020-01-17,61654.94856,8720.15,63928.08216,9041.65,61317.619776,8672.44,63020.454912,8913.28,70897.737377,70897.737377
2020-01-16,62360.998704,8820.01,62642.400624,8859.81,60706.4544,8586.0,61653.958704,8720.01,51991.074284,51991.074284
2020-01-15,62323.030656,8814.64,63043.080192,8916.48,60550.9056,8564.0,62370.897264,8821.41,84816.297606,84816.297606
2020-01-14,57343.347936,8110.34,62785.152,8880.0,57309.410016,8105.54,62290.294704,8810.01,120399.126742,120399.126742
2020-01-13,57871.011888,8184.97,57948.9984,8196.0,56958.364656,8055.89,57343.347936,8110.34,31159.755683,31159.755683
2020-01-12,56704.678704,8020.01,57956.0688,8197.0,56280.384,7960.0,57871.082592,8184.98,38131.494336,38131.494336
2020-01-11,57969.219744,8198.86,58587.738336,8286.34,56585.542464,8003.16,56704.678704,8020.01,54810.032667,54810.032667
2020-01-10,55274.548896,7817.74,57970.2096,8199.0,54244.1088,7672.0,57956.210208,8197.02,82406.777448,82406.777448
2020-01-09,56950.092288,8054.72,56958.859584,8055.96,54795.6,7750.0,55274.690304,7817.76,64239.51983,64239.51983
2020-01-08,57594.912768,8145.92,59780.232,8455.0,55644.048,7870.0,56959.000992,8055.98,112622.64264,112622.64264
2020-01-07,54858.52656,7758.9,58031.580672,8207.68,54609.719184,7723.71,57590.387712,8145.28,91171.684661,91171.684661
2020-01-06,52021.457856,7357.64,55116.171936,7795.34,51944.531904,7346.76,54852.1632,7758.0,54635.695316,54635.695316
2020-01-05,51997.064976,7354.19,52992.648,7495.0,51741.1872,7318.0,52029.306,7358.75,38331.085604,38331.085604
2020-01-04,51932.088,7345.0,52349.2416,7404.0,51417.433584,7272.21,51996.499344,7354.11,29987.974977,29987.974977
2020-01-03,49248.800496,6965.49,52356.312,7405.0,48581.001216,6871.04,51931.805184,7344.96,68428.500451,68428.500451
2020-01-02,50912.324208,7200.77,50995.26,7212.5,48960.681696,6924.74,49250.355984,6965.71,31951.483932,31951.483932
2020-01-01,50873.224896,7195.24,51295.752,7255.0,50731.18056,7175.15,50912.88984,7200.85,16792.388165,16792.388165
2019-12-31,51232.1184,7246.0,51755.328,7320.0,50518.078704,7145.01,50873.154192,7195.23,25954.453533,25954.453533
2019-12-30,52239.155472,7388.43,52379.220096,7408.24,51048.288,7220.0,51232.1184,7246.0,29605.911782,29605.911782
2019-12-29,51722.521344,7315.36,53229.15288,7528.45,51529.0752,7288.0,52237.812096,7388.24,31387.106085,31387.106085
2019-12-28,51294.125808,7254.77,52073.566704,7365.01,51180.292368,7238.67,51728.036256,7316.14,26848.982199,26848.982199
2019-12-27,50921.0208,7202.0,51443.240544,7275.86,50033.119968,7076.42,51293.913696,7254.74,33642.701861,33642.701861
2019-12-26,50942.302704,7205.01,52568.424,7435.0,50603.701248,7157.12,50921.0208,7202.0,36259.761076,36259.761076
2019-12-25,51301.196208,7255.77,51414.322608,7271.77,50403.891744,7128.86,50939.615952,7204.63,27492.044323,27492.044323
2019-12-24,51736.23792,7317.3,52580.302272,7436.68,50603.135616,7157.04,51301.196208,7255.77,43629.494188,43629.494188
2019-12-23,53033.019984,7500.71,54409.414752,7695.38,51372.395136,7265.84,51734.753136,7317.09,68051.997203,68051.997203
2019-12-22,50423.193936,7131.59,53159.085216,7518.54,50358.711888,7122.47,53038.181376,7501.44,39137.45515,39137.45515
2019-12-21,50822.105904,7188.01,50840.276832,7190.58,50235.192,7105.0,50431.3956,7132.75,19467.174028,19467.174028
2019-12-20,50562.622224,7151.31,51048.288,7220.0,50054.8968,7079.5,50820.833232,7187.83,32132.069205,32132.069205
2019-12-19,51457.169232,7277.83,52179.552,7380.0,49763.667024,7038.31,50555.48112,7150.3,55509.049075,55509.049075
2019-12-18,46833.198336,6623.84,52603.776,7440.0,45498.024,6435.0,51457.169232,7277.83,95636.651251,95636.651251
2019-12-17,48725.237376,6891.44,49084.201584,6942.21,46381.824,6560.0,46833.056928,6623.82,53865.069929,53865.069929
2019-12-16,50338.41984,7119.6,50553.36,7150.0,48333.2544,6836.0,48727.217088,6891.72,43863.993059,43863.993059
2019-12-15,49946.295456,7064.14,50909.00112,7200.3,49551.83784,7008.35,50331.278736,7118.59,26395.778137,26395.778137
2019-12-14,51312.508848,7257.37,51414.322608,7271.77,49577.6448,7012.0,49945.65912,7064.05,29561.985967,29561.985967
2019-12-13,50891.042304,7197.76,51677.90712,7309.05,50841.549504,7190.76,51320.356992,7258.48,27609.873795,27609.873795
2019-12-12,50977.584,7210.0,51578.568,7295.0,50060.55312,7080.3,50893.304832,7198.08,42288.600932,42288.600932
2019-12-11,51077.63016,7224.15,51440.6952,7275.5,50381.266464,7125.66,50977.584,7210.0,30093.091944,30093.091944
2019-12-10,51887.120256,7338.64,52374.69504,7407.6,50603.55984,7157.1,51077.488752,7224.13,49723.76214,49723.76214
2019-12-09,53099.481744,7510.11,54088.56,7650.0,51423.0192,7273.0,51887.120256,7338.64,46621.887493,46621.887493
2019-12-08,52938.276624,7487.31,53480.5056,7564.0,52143.210144,7374.86,53099.481744,7510.11,29856.897631,29856.897631
2019-12-07,53224.55712,7527.8,53873.761248,7619.62,52817.019264,7470.16,52944.639984,7488.21,31498.684173,31498.684173
2019-12-06,52243.1856,7389.0,53664.548112,7590.03,51649.272,7305.0,53222.223888,7527.47,48189.087944,48189.087944
2019-12-05,50868.629136,7194.59,52921.944,7485.0,50553.36,7150.0,52243.1856,7389.0,59306.678855,59306.678855
2019-12-04,51562.376784,7292.71,54795.6,7750.0,49966.5168,7067.0,50866.720128,7194.32,83147.149142,83147.149142
2019-12-03,51574.467168,7294.42,52320.96,7400.0,51199.24104,7241.35,51562.376784,7292.71,33149.477487,33149.477487
2019-12-02,52260.8616,7391.5,52466.327424,7420.56,50561.13744,7151.1,51573.477312,7294.28,46330.25604,46330.25604
2019-12-01,53315.270352,7540.63,53323.89624,7541.85,50977.584,7210.0,52256.548656,7390.89,60769.342313,60769.342313
2019-11-30,54731.895696,7740.99,55219.824,7810.0,52610.8464,7441.0,53324.179056,7541.89,46989.433619,46989.433619
2019-11-29,52451.903808,7418.52,55502.64,7850.0,52054.40592,7362.3,54722.633472,7739.68,60745.300873,60745.300873
2019-11-28,53083.85616,7507.9,54039.0672,7643.0,52038.144,7360.0,52458.762096,7419.49,56933.981109,56933.981109
2019-11-27,50586.9444,7154.75,54123.912,7655.0,48361.536,6840.0,53088.239808,7508.52,92452.87349,92452.87349
2019-11-26,50270.473296,7109.99,51896.736,7340.0,49616.390592,7017.48,50596.772256,7156.14,65722.39769,65722.39769
2019-11-25,48787.386192,6900.23,52163.219376,7377.69,46063.656,6515.0,50267.503728,7109.57,119645.735197,119645.735197
2019-11-24,51692.40144,7311.1,51828.789456,7330.39,48510.0144,6861.0,48808.950912,6903.28,67890.206483,67890.206483
2019-11-23,51389.293392,7268.23,51928.411392,7344.48,50058.502704,7080.01,51695.724528,7311.57,50449.894755,50449.894755
2019-11-22,53931.526416,7627.79,54795.6,7750.0,48008.016,6790.0,51389.293392,7268.23,126603.140259,126603.140259
2019-11-21,57260.058624,8098.56,57515.794992,8134.73,53028.0,7500.0,53931.172896,7627.74,58418.780261,58418.780261
2019-11-20,57509.431632,8133.83,58431.836016,8264.29,56834.70336,8038.4,57256.169904,8098.01,32466.23098,32466.23098
2019-11-19,57881.8296,8186.5,58109.001552,8218.63,56584.4112,8003.0,57508.088256,8133.64,43556.061025,43556.061025
