date,open,high,low,close,volume
2020-07-27 19:08:00,204.38,204.38,204.38,204.38,202.0
2020-07-27 19:05:00,204.45,204.49,204.4,204.4,4560.0
2020-07-27 19:03:00,204.3,204.47,204.29,204.29,1766.0
2020-07-27 19:00:00,204.3,204.3,204.3,204.3,171.0
2020-07-27 18:59:00,204.3,204.3,204.29,204.29,1362.0
2020-07-27 18:57:00,204.3,204.3,204.3,204.3,137.0
2020-07-27 18:56:00,204.32,204.32,204.3,204.3,1520.0
2020-07-27 18:54:00,204.4,204.4,204.4,204.4,412.0
2020-07-27 18:53:00,204.3,204.38,204.3,204.38,852.0
2020-07-27 18:52:00,204.46,204.46,204.3,204.3,1187.0
2020-07-27 18:51:00,204.38,204.46,204.38,204.46,1557.0
2020-07-27 18:50:00,204.18,204.36,204.18,204.36,2032.0
2020-07-27 18:49:00,204.18,204.18,204.18,204.18,530.0
2020-07-27 18:47:00,204.1,204.1,204.1,204.1,308.0
2020-07-27 18:42:00,204.17,204.17,204.17,204.17,132.0
2020-07-27 18:40:00,204.1,204.1,204.1,204.1,425.0
2020-07-27 18:37:00,204.1,204.1,204.1,204.1,275.0
2020-07-27 18:35:00,204.2,204.2,204.2,204.2,167.0
2020-07-27 18:33:00,204.18,204.18,204.18,204.18,209.0
2020-07-27 18:31:00,204.08,204.08,204.08,204.08,438.0
2020-07-27 18:30:00,204.08,204.08,204.08,204.08,675.0
2020-07-27 18:28:00,204.05,204.05,204.05,204.05,226.0
2020-07-27 18:27:00,204.07,204.07,204.07,204.07,179.0
2020-07-27 18:25:00,204.05,204.1,204.05,204.1,1123.0
2020-07-27 18:24:00,204.0,204.02,204.0,204.0,615.0
2020-07-27 18:18:00,204.0,204.0,204.0,204.0,320.0
2020-07-27 18:16:00,204.0,204.0,204.0,204.0,345.0
2020-07-27 18:15:00,204.13,204.14,204.13,204.14,350.0
2020-07-27 18:13:00,204.15,204.15,204.15,204.15,590.0
2020-07-27 18:12:00,204.15,204.15,204.13,204.13,837.0
2020-07-27 18:11:00,204.16,204.16,204.14,204.14,551.0
2020-07-27 18:10:00,204.13,204.25,204.13,204.25,607.0
2020-07-27 18:09:00,204.13,204.13,204.13,204.13,743.0
2020-07-27 18:07:00,204.27,204.3,204.27,204.3,578.0
2020-07-27 18:04:00,204.3,204.3,204.2,204.2,2315.0
2020-07-27 18:03:00,204.03,204.3,204.03,204.3,2254.0
2020-07-27 18:02:00,204.28,204.28,204.2,204.2,709.0
2020-07-27 18:01:00,204.06,204.28,203.95,204.28,3810.0
2020-07-27 18:00:00,203.981,203.981,203.98,203.98,814.0
2020-07-27 17:59:00,204.01,204.01,204.01,204.01,596.0
2020-07-27 17:57:00,204.0,204.0,204.0,204.0,643.0
2020-07-27 17:56:00,203.99,203.99,203.99,203.99,173.0
2020-07-27 17:55:00,203.98,203.98,203.98,203.98,1666.0
2020-07-27 17:53:00,203.98,203.98,203.98,203.98,209.0
2020-07-27 17:52:00,203.98,203.98,203.98,203.98,220.0
2020-07-27 17:49:00,203.92,203.92,203.92,203.92,150.0
2020-07-27 17:48:00,203.92,203.92,203.92,203.92,2208.0
2020-07-27 17:47:00,203.95,203.95,203.91,203.91,864.0
2020-07-27 17:46:00,203.95,203.95,203.95,203.95,251.0
