episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
88,10,-0.07203934042142214,-50.0576857641678,10315.809912109375,24921.065478515626,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
89,8,-0.11689175184301655,-62.510386123480124,18314.423263549805,13836.849548339844,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
90,3,-0.1970712273106736,-166.81323707640803,19689.772135416668,10033.495768229166,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
91,14,-35.81750239829286,-35.69930460477639,13557.94797188895,19164.53885323661,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
92,4,-125.06990377925598,0.06990377925598343,13607.796203613281,9975.142181396484,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
93,6,-83.47874310411821,0.14540977078486853,11806.35130818685,15200.119384765625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
94,6,-0.08558307279509748,-83.43259033329964,13600.282857259115,18316.79052734375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
95,5,-0.05209965193319379,-100.16766195045095,22333.59912109375,20481.34462890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
96,2,-250.1235062326519,0.1235062326518798,14184.533203125,17170.169891357422,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
97,3,-0.1567600308918837,-167.07006136524828,13803.016927083334,21012.18896484375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
98,7,-0.17661030651362128,-71.67317095423275,17880.515066964286,23446.115304129464,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
99,4,-0.18252068004635608,-125.42727531537382,17481.8095703125,22158.827880859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
100,6,-0.05935691506897772,-83.50776198623862,12796.567830403646,15322.856363932291,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
101,12,41.60602131131819,-83.37686439829561,16520.917002360027,23721.03076171875,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
102,7,-0.08027249203078826,-71.57451674642337,14952.077130998883,19719.802734375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
103,2,-0.1947749126674603,-250.83875361745268,27097.4716796875,18040.189453125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
