episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
111,4,-125.16660791514174,0.16660791514174275,12622.962097167969,21876.618286132812,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
112,6,-83.45355752601678,0.12022419268345773,17491.477701822918,18882.595540364582,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
113,9,-0.06647609031573967,-55.651469386937265,12488.668565538195,15926.621961805555,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
114,7,-71.46215084470528,0.03357941613384025,6244.8203125,20887.443498883928,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
115,4,-0.0631102388286501,-125.5402937055404,11035.257202148438,20704.23388671875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
116,4,-0.114651806089578,-125.45014833317708,8534.972373962402,19603.023193359375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
117,3,-0.12003462248450948,-167.12689033092866,14245.268493652344,16798.003092447918,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
118,7,-71.60738792785622,0.1788164992847975,12522.063650948661,13845.77113560268,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
119,6,-83.49674599613994,0.16341266280660355,16640.470458984375,21599.533528645832,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
120,9,-55.674898110513645,-0.34284616180700667,10074.102634006076,14761.842393663195,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
121,7,-71.51948646256146,0.09091503399003129,13363.762765066964,21344.680594308036,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
122,2,-0.18687318858607627,-250.68046335060444,3827.820526123047,16423.373046875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
123,6,-83.49989391681885,-83.50143693719603,11553.961237589518,26142.20263671875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
124,2,-0.10657633746253439,-250.65027224234368,11518.2841796875,17839.2939453125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
125,3,-0.16578314495184127,-166.91067380896928,14406.222381591797,21415.3037109375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
126,12,-0.11922835082098159,-41.73440474565919,15871.639200846354,20527.330525716145,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
