episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
106,4,-125.63909974189185,0.0,21268.720703125,16345.439208984375,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
107,6,-83.66273593955468,0.0,17708.4501953125,13831.290201822916,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
108,9,-0.06535597620104533,-55.713093576286504,22672.986762152777,14713.116861979166,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
109,10,-50.198152805813926,0.0,19483.09619140625,16221.602587890626,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
110,2,0.0,-250.51709961349653,19743.74609375,18427.76953125,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
111,10,-50.12142726480139,0.0,15279.88095703125,17241.908435058594,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
112,7,0.0,-71.7211569601035,18484.203543526786,16408.186331612724,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
113,5,0.0,-100.41710868641532,21860.827734375,19869.36181640625,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
114,9,0.0,-55.72254336739309,17186.930609809027,17113.545355902777,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
115,11,-45.60236786935457,-0.04072799763319504,16131.943403764204,19690.416104403408,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
116,2,-0.5519611756408221,-251.06819422479313,14814.61083984375,17179.6494140625,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
117,9,-0.2488589743955743,-55.68944816679759,14665.761935763889,20083.875542534723,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
118,5,0.0,-100.2008276626842,16891.679833984374,20096.0984375,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
