episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
49,8,-0.14242245418776656,-62.86069668313213,0.0851414217596289,7162.2915687561035,19446.318237304688,6900.377190649509,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
50,3,-166.81271989209594,0.15968417785957187,0.14605322542929222,15762.139485677084,17903.305338541668,206.84916083017984,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
51,8,24.97731296968336,-25.01832911072586,-62.49796928597699,8041.104463636875,19216.695556640625,11675.142012000084,2.0,2.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
52,2,-0.08989670540293795,0.08989670540293795,-250.83455368963638,4214.32272362709,15477.3203125,15405.03857421875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
53,6,-83.48576157918902,0.18551380200256165,0.005266699833367232,8242.103633125624,16574.007486979168,7933.827499389648,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
54,9,11.067145759733112,0.04907351981653316,-66.76445045456195,8902.75910753674,19305.436903211805,9438.101623535156,1.0,0.0,1.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
55,2,-250.17836254578557,0.17836254578558,-0.6059580950304649,4694.092834472656,18715.90380859375,11863.75732421875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
56,8,-0.04847843710649623,-0.03872064935714213,-62.638363200760374,6065.975699365139,18407.978942871094,8631.348815917969,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
57,3,-0.06522692774973735,-167.25792437738383,0.06522692774973735,18070.490234375,9684.892415364584,15267.378580729166,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
58,3,-0.09616118969947295,-167.10649965737483,-0.6163806175268316,7792.628222942352,12155.62841796875,12674.446667989096,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
